Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
rDDodgNb,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,20:00,Round 5,Gimnasia Jujuy,CA Estudiantes,0,1,[],[45],bet365,2.88,1.8,6.0,bet365,2.05,2.8,4.75,bet365,1.78,2.03,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.17,5.0,bet365,1.73,2.0,bet365,3.5,1.3,bet365,8.0,1.08,bet365,19.0,1.02,bet365,2.75,1.4,bet365,1.18,1.4,1.73,bet365,4.5,bet365,8.0,bet365,21.0,bet365,51.0,bet365,4.5,bet365,6.5,bet365,19.0,bet365,51.0,bet365,7.5,bet365,11.0,bet365,29.0,bet365,81.0,bet365,17.0,bet365,26.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,3.3,1.33,bet365,2.05,1.8,bet365,1.2,4.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.5,6.0,1.18,bet365,4.5,3.4,1.73,Betano.br,1.2,5.4,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,10.0,6.0,2.0,3.0,8.0,3.0,,,,,,,,,,,,,7.0,6.0,,,,,,,3.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.42,0.58,3.0,4.0,1.0,3.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,,,2.0,1.0,,,,,,,0.54,0.46,7.0,2.0,1.0,0.0,6.0,2.0,,,5.0,4.0,1.0,0.0,,,,,,,0.0,1.0
vs8bxaWP,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,19:00,Round 5,Patronato,Gimnasia y Tiro,0,0,[],[],bet365,3.1,1.8,5.0,bet365,2.25,2.63,4.1,bet365,1.67,2.1,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.17,4.75,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,17.0,1.03,bet365,2.5,1.5,bet365,1.22,1.44,1.62,bet365,4.75,bet365,8.0,bet365,19.0,bet365,51.0,bet365,5.0,bet365,5.5,bet365,17.0,bet365,41.0,bet365,8.5,bet365,11.0,bet365,21.0,bet365,67.0,bet365,21.0,bet365,23.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.55,1.28,bet365,2.15,1.68,bet365,1.23,4.1,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,12.5,6.1,1.18,bet365,4.75,3.6,1.67,Betano.br,1.25,5.0,11.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,17.0,15.0,9.0,6.0,8.0,9.0,,,,,,,,,,,,,7.0,2.0,,,,,,,3.0,2.0,,,,,6.0,9.0,,,,,,,,,,,,,,,,,,,0.5,0.5,12.0,4.0,6.0,2.0,6.0,2.0,,,6.0,0.0,1.0,2.0,,,,,2.0,6.0,,,,,,,0.58,0.42,5.0,11.0,3.0,4.0,2.0,7.0,,,1.0,2.0,2.0,0.0,,,,,,,4.0,3.0
AP42hBMN,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,18:00,Round 5,Central Norte,Temperley,2,0,"[41, 70]",[],bet365,4.0,1.73,4.0,bet365,2.9,2.6,2.9,bet365,1.8,2.0,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.18,4.5,bet365,1.8,1.91,bet365,3.6,1.29,bet365,8.0,1.08,bet365,21.0,1.02,bet365,2.63,1.44,bet365,1.4,1.5,1.4,bet365,4.5,bet365,6.0,bet365,12.0,bet365,34.0,bet365,6.0,bet365,5.5,bet365,13.0,bet365,34.0,bet365,12.0,bet365,13.0,bet365,23.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,2.85,1.4,bet365,1.4,2.85,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,22.0,8.25,1.08,Betano.br,8.25,4.05,1.38,bet365,1.4,4.33,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,8.0,7.0,3.0,0.0,5.0,7.0,,,,,,,,,,,,,5.0,5.0,,,,,,,3.0,2.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.48,0.52,7.0,4.0,2.0,0.0,5.0,4.0,,,3.0,1.0,1.0,0.0,,,,,0.0,1.0,,,,,,,0.5,0.5,1.0,3.0,1.0,0.0,0.0,3.0,,,2.0,4.0,2.0,2.0,,,,,,,0.0,0.0
zmAwbFhn,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,17:00,Round 5,Agropecuario,Deportivo Moron,1,0,[49],[],bet365,3.6,1.8,4.0,bet365,2.63,2.88,3.0,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.62,2.2,bet365,3.1,1.36,bet365,6.5,1.11,bet365,17.0,1.03,bet365,2.38,1.53,bet365,1.36,1.4,1.44,bet365,5.5,bet365,6.5,bet365,13.0,bet365,34.0,bet365,6.0,bet365,6.0,bet365,13.0,bet365,34.0,bet365,11.0,bet365,12.0,bet365,21.0,bet365,51.0,bet365,26.0,bet365,29.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,6.25,1.12,bet365,5.0,1.17,bet365,2.6,1.48,bet365,1.4,2.85,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,16.0,7.1,1.13,bet365,6.0,4.0,1.44,Betano.br,1.39,4.2,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,3.0,1.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,5.0,4.0,,,,,,,3.0,4.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.58,0.42,1.0,1.0,1.0,1.0,0.0,0.0,,,2.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,0.66,0.34,2.0,0.0,2.0,0.0,0.0,0.0,,,3.0,1.0,2.0,3.0,0.0,1.0,,,,,0.0,1.0
O8tLuYxI,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,17:00,Round 5,Chacarita Juniors,Estudiantes Rio Cuarto,0,2,[],"[23, 90]",bet365,3.25,1.73,5.0,bet365,2.25,2.8,3.7,bet365,1.83,1.98,bet365,5.5,1.14,bet365,19.0,1.02,bet365,1.18,4.5,bet365,1.83,1.83,bet365,3.6,1.29,bet365,9.0,1.07,bet365,21.0,1.02,bet365,2.75,1.4,bet365,1.29,1.4,1.62,bet365,4.5,bet365,6.5,bet365,17.0,bet365,41.0,bet365,4.75,bet365,6.5,bet365,17.0,bet365,41.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,67.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,5.25,1.16,bet365,4.0,1.23,bet365,2.25,1.63,bet365,1.28,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,14.5,6.5,1.15,bet365,5.5,3.5,1.62,Betano.br,1.25,4.9,11.75,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,8.0,11.0,2.0,4.0,6.0,7.0,,,,,,,,,,,,,7.0,5.0,,,,,,,1.0,4.0,1.0,0.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,0.53,0.47,5.0,2.0,2.0,2.0,3.0,0.0,,,3.0,2.0,0.0,2.0,,,,,1.0,2.0,,,,,,,0.45,0.55,3.0,9.0,0.0,2.0,3.0,7.0,,,4.0,3.0,1.0,2.0,1.0,0.0,,,,,1.0,0.0
lGJ3ox9t,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,17:00,Round 5,Racing Cordoba,Arsenal Sarandi,3,0,"[2, 36, 49]",[],bet365,2.5,1.91,6.5,bet365,1.73,3.2,5.75,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.14,5.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.63,1.44,bet365,1.14,1.36,2.05,bet365,5.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,4.5,bet365,7.0,bet365,21.0,bet365,51.0,bet365,6.5,bet365,10.0,bet365,26.0,bet365,67.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,126.0,,0.0,0.0,bet365,6.4,1.12,bet365,3.3,1.33,bet365,2.38,1.55,bet365,1.8,2.05,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,7.0,4.75,1.36,bet365,3.25,3.25,2.05,Betano.br,1.16,6.1,16.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,8.0,3.0,4.0,0.0,4.0,3.0,,,,,,,,,,,,,10.0,1.0,,,,,,,2.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.56,0.44,5.0,0.0,3.0,0.0,2.0,0.0,,,3.0,0.0,0.0,2.0,,,,,0.0,1.0,,,,,,,0.66,0.34,3.0,3.0,1.0,0.0,2.0,3.0,,,7.0,1.0,2.0,1.0,,,,,,,0.0,0.0
xxjoTfgC,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,09/03/2025,17:00,Round 5,San Miguel,Alvarado,2,0,"[45, 65]",[],bet365,2.38,1.91,7.5,bet365,1.65,3.4,6.0,bet365,1.62,2.2,bet365,4.0,1.22,bet365,15.0,1.03,bet365,1.11,6.5,bet365,1.62,2.2,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.75,1.4,bet365,1.13,1.3,2.2,bet365,5.5,bet365,9.5,bet365,29.0,bet365,81.0,bet365,4.33,bet365,7.5,bet365,21.0,bet365,67.0,bet365,6.0,bet365,10.0,bet365,29.0,bet365,81.0,bet365,12.0,bet365,21.0,bet365,51.0,bet365,151.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,3.0,1.38,bet365,2.2,1.65,bet365,1.63,2.25,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,7.1,4.7,1.36,bet365,3.1,3.25,2.2,Betano.br,1.13,6.6,19.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,4.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,3.0,5.0,,,,,,,4.0,3.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.45,0.55,3.0,0.0,1.0,0.0,2.0,0.0,,,3.0,3.0,3.0,3.0,,,,,0.0,0.0,,,,,,,0.55,0.45,1.0,2.0,1.0,0.0,0.0,2.0,,,0.0,2.0,1.0,0.0,,,,,,,0.0,0.0
bivfRYNO,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,21:10,Round 5,Quilmes,All Boys,3,1,"[11, 87, 90]",[25],bet365,3.1,1.73,5.5,bet365,2.15,2.75,4.2,bet365,1.85,1.95,bet365,5.5,1.11,bet365,19.0,1.01,bet365,1.18,4.5,bet365,1.83,1.83,bet365,4.0,1.25,bet365,9.0,1.07,bet365,23.0,1.01,bet365,2.75,1.4,bet365,1.22,1.4,1.67,bet365,4.33,bet365,7.0,bet365,19.0,bet365,51.0,bet365,4.5,bet365,6.5,bet365,19.0,bet365,51.0,bet365,8.0,bet365,12.0,bet365,29.0,bet365,67.0,bet365,19.0,bet365,29.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,4.8,1.18,bet365,3.55,1.28,bet365,2.1,1.7,bet365,1.23,4.1,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,13.0,6.2,1.17,bet365,4.75,3.4,1.67,Betano.br,1.23,5.0,13.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.4,0.6,,,,,,,,,,,12.0,4.0,5.0,2.0,7.0,2.0,,,,,,,,,,,,,5.0,9.0,,,,,,,1.0,1.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.45,0.55,4.0,3.0,1.0,1.0,3.0,2.0,,,4.0,6.0,0.0,1.0,,,,,0.0,0.0,,,,,,,0.35,0.65,8.0,1.0,4.0,1.0,4.0,0.0,,,1.0,3.0,1.0,0.0,0.0,1.0,,,,,1.0,2.0
dGwLAhxh,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,21:00,Round 5,Chaco For Ever,CA Mitre,0,1,[],[90],bet365,3.25,1.73,5.0,bet365,2.3,2.63,4.0,bet365,1.85,1.95,bet365,6.0,1.13,bet365,21.0,1.02,bet365,1.2,4.33,bet365,1.83,1.83,bet365,4.0,1.25,bet365,9.0,1.07,bet365,21.0,1.02,bet365,2.75,1.4,bet365,1.22,1.44,1.57,bet365,4.33,bet365,7.0,bet365,17.0,bet365,51.0,bet365,4.75,bet365,6.0,bet365,17.0,bet365,51.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,67.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,151.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.0,1.23,bet365,2.25,1.63,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,14.5,6.5,1.15,bet365,5.5,3.6,1.57,Betano.br,1.24,4.9,12.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,11.0,6.0,1.0,1.0,10.0,5.0,,,,,,,,,,,,,4.0,1.0,,,,,,,1.0,4.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,2.0,2.0,0.0,0.0,2.0,2.0,,,1.0,1.0,1.0,0.0,,,,,0.0,0.0,,,,,,,0.46,0.54,9.0,4.0,1.0,1.0,8.0,3.0,,,3.0,0.0,0.0,4.0,,,,,,,0.0,1.0
zDgUWxfm,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,19:05,Round 5,Ferro,Deportivo Maipu,2,0,"[8, 12]",[],bet365,2.63,1.91,6.0,bet365,1.85,3.2,4.5,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.7,1.44,bet365,6.0,1.13,bet365,13.0,1.04,bet365,2.5,1.5,bet365,1.18,1.36,1.91,bet365,6.0,bet365,8.5,bet365,21.0,bet365,51.0,bet365,5.0,bet365,6.5,bet365,17.0,bet365,51.0,bet365,7.0,bet365,10.0,bet365,23.0,bet365,51.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,3.7,1.26,bet365,2.85,1.4,bet365,1.93,1.93,bet365,1.22,4.15,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,9.0,5.3,1.27,bet365,3.6,3.4,1.91,Betano.br,1.19,5.7,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,4.0,8.0,2.0,2.0,2.0,6.0,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,1.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,0.53,0.47,3.0,3.0,2.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,1.0,0.0,,,,,,,0.53,0.47,1.0,5.0,0.0,1.0,1.0,4.0,,,3.0,2.0,1.0,0.0,,,,,,,1.0,0.0
WvmwVGOa,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,17:00,Round 5,Almagro,Deportivo Madryn,1,0,[85],[],bet365,4.0,1.8,3.6,bet365,3.0,2.8,2.7,bet365,1.67,2.1,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.13,6.0,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.44,1.4,1.36,bet365,5.0,bet365,6.0,bet365,11.0,bet365,29.0,bet365,6.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,12.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,5.9,1.13,bet365,2.85,1.4,bet365,1.48,2.6,bet365,1.18,4.8,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,8.25,4.25,1.37,bet365,1.44,4.0,6.5,Betano.br,1.12,7.4,16.5,,0.0,0.0,0.0,,,,,,,,,,,0.56,0.44,,,,,,,,,,,8.0,2.0,2.0,0.0,6.0,2.0,,,,,,,,,,,,,6.0,4.0,,,,,,,2.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,5.0,1.0,0.0,0.0,5.0,1.0,,,2.0,3.0,2.0,0.0,,,,,0.0,0.0,,,,,,,0.55,0.45,3.0,1.0,2.0,0.0,1.0,1.0,,,4.0,1.0,0.0,1.0,,,,,,,0.0,1.0
OYPBEevJ,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,17:00,Round 5,Club A. Guemes,Tristan Suarez,0,1,[],[36],bet365,2.75,1.91,5.5,bet365,1.95,2.75,5.0,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.5,2.5,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.25,1.57,bet365,1.17,1.4,1.8,bet365,5.5,bet365,9.5,bet365,23.0,bet365,51.0,bet365,5.5,bet365,6.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,10.0,bet365,21.0,bet365,51.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,81.0,,0.0,0.0,,0.0,0.0,bet365,3.7,1.26,bet365,2.85,1.4,bet365,1.98,1.88,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Betano.br,9.75,5.6,1.24,bet365,4.0,3.6,1.8,Betano.br,1.19,5.6,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,3.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,9.0,1.0,,,,,,,0.0,6.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.54,0.46,1.0,2.0,0.0,1.0,1.0,1.0,,,3.0,0.0,0.0,1.0,,,,,0.0,0.0,,,,,,,0.54,0.46,2.0,2.0,1.0,1.0,1.0,1.0,,,6.0,1.0,0.0,5.0,,,,,,,1.0,1.0
xIR3GH96,ARGENTINA,2025,Primera Nacional 2025,ARGENTINA 2,08/03/2025,17:00,Round 5,Los Andes,San Martin T.,1,1,[90],[29],bet365,4.0,1.8,3.6,bet365,3.1,2.7,2.7,bet365,1.75,2.05,bet365,4.5,1.18,bet365,17.0,1.03,bet365,1.17,5.0,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,19.0,1.02,bet365,2.5,1.5,bet365,1.44,1.44,1.36,bet365,4.75,bet365,6.0,bet365,11.0,bet365,29.0,bet365,6.5,bet365,5.5,bet365,12.0,bet365,29.0,bet365,13.0,bet365,13.0,bet365,21.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,51.0,bet365,101.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,6.4,1.12,bet365,3.0,1.38,bet365,1.45,2.68,bet365,1.16,5.25,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,8.75,4.25,1.35,bet365,1.44,4.0,6.5,Betano.br,1.1,7.9,19.5,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,13.0,4.0,5.0,2.0,8.0,2.0,,,,,,,,,,,,,9.0,4.0,,,,,,,4.0,3.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,0.51,0.49,2.0,2.0,1.0,2.0,1.0,0.0,,,5.0,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,0.43,0.57,11.0,2.0,4.0,0.0,7.0,2.0,,,4.0,2.0,2.0,2.0,,,,,,,0.0,3.0
