Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
beGieH34,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,21/10/2023,13:00,Round 11,Lausanne Ouchy,Lausanne,2,2,"[77, 88]","[29, 81]",bet365,3.4,2.2,3.0,bet365,2.75,3.6,2.4,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.75,2.05,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.53,1.29,1.4,bet365,12.0,bet365,9.0,bet365,12.0,bet365,23.0,bet365,10.0,bet365,7.0,bet365,9.5,bet365,19.0,bet365,15.0,bet365,10.0,bet365,13.0,bet365,26.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.5,1.15,bet365,4.4,1.2,bet365,2.6,1.48,bet365,1.58,2.35,bet365,1.26,3.7,bet365,1.19,4.5,,0.0,0.0,,0.0,0.0,Betano.br,30.0,14.0,1.04,Betano.br,14.5,8.0,1.14,Betano.br,6.1,4.55,1.45,bet365,1.53,4.33,4.5,Betano.br,1.19,7.1,11.5,Betano.br,1.05,12.5,25.0,,,,,,,,,,,0.62,0.38,0.0,0.0,,,,,,,,,11.0,15.0,3.0,5.0,8.0,10.0,,,,,,,,,,,,,16.0,1.0,17.0,15.0,24.0,20.0,12.0,15.0,5.0,3.0,,,4.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.6,0.4,5.0,9.0,0.0,2.0,5.0,7.0,,,7.0,0.0,2.0,2.0,5.0,7.0,1.0,2.0,1.0,0.0,,,,,,,0.64,0.36,6.0,6.0,3.0,3.0,3.0,3.0,,,9.0,1.0,3.0,1.0,,,7.0,8.0,3.0,1.0,2.0,1.0
GWAdfyJA,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,21/10/2023,13:00,Round 11,Young Boys,Zurich,0,0,[],[],bet365,2.5,2.3,4.0,bet365,1.95,3.75,3.75,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.25,1.25,1.8,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,13.0,bet365,26.0,bet365,11.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,7.0,1.1,bet365,6.25,1.12,bet365,3.45,1.3,bet365,2.75,1.43,bet365,2.0,1.85,bet365,1.3,3.45,bet365,1.12,6.25,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,16.5,9.75,1.1,Betano.br,7.6,5.8,1.31,bet365,3.4,4.0,1.8,Betano.br,1.31,5.4,8.25,Betano.br,1.09,9.75,19.5,Betano.br,1.03,15.5,35.0,,,,,,,,,,,0.6,0.4,0.0,0.0,,,,,,,,,15.0,8.0,1.0,1.0,14.0,7.0,,,,,,,,,,,,,5.0,2.0,15.0,17.0,21.0,38.0,13.0,9.0,0.0,1.0,,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.54,0.46,5.0,7.0,1.0,1.0,4.0,6.0,,,1.0,1.0,,,10.0,4.0,1.0,3.0,1.0,1.0,,,,,,,0.66,0.34,10.0,1.0,0.0,0.0,10.0,1.0,,,4.0,1.0,0.0,1.0,,,3.0,5.0,2.0,0.0,0.0,0.0
QsIqcwZi,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,08/10/2023,11:30,Round 10,Lausanne,Luzern,3,1,"[68, 73, 77]",[31],bet365,3.1,2.3,3.1,bet365,2.63,3.4,2.63,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.44,1.3,1.44,bet365,13.0,bet365,11.0,bet365,15.0,bet365,26.0,bet365,11.0,bet365,6.5,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,26.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.1,1.23,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.23,4.1,bet365,1.17,5.0,,0.0,0.0,,0.0,0.0,Betano.br,24.0,12.5,1.06,Betano.br,11.5,7.2,1.18,bet365,4.75,4.5,1.5,bet365,1.44,4.75,5.0,Betano.br,1.16,7.6,13.0,Betano.br,1.05,13.0,27.0,,,,,,,,,,,0.46,0.54,0.0,0.0,,,,,,,,,15.0,8.0,6.0,3.0,9.0,5.0,,,,,,,,,,,,,8.0,4.0,12.0,13.0,20.0,22.0,13.0,12.0,3.0,4.0,,,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,0.43,0.57,7.0,7.0,2.0,3.0,5.0,4.0,,,4.0,1.0,2.0,0.0,6.0,6.0,0.0,1.0,2.0,2.0,,,,,,,0.49,0.51,8.0,1.0,4.0,0.0,4.0,1.0,,,4.0,3.0,1.0,4.0,,,7.0,6.0,0.0,1.0,0.0,1.0
K4Hmdclb,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,08/10/2023,11:30,Round 10,Young Boys,Basel,3,0,"[3, 39, 79]",[],bet365,2.0,2.63,5.0,bet365,1.5,5.0,5.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.57,2.25,bet365,1.14,1.17,2.5,bet365,21.0,bet365,21.0,bet365,34.0,bet365,51.0,bet365,11.0,bet365,10.0,bet365,17.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,12.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.9,1.24,bet365,3.3,1.33,bet365,2.25,1.63,bet365,1.78,2.03,bet365,1.48,2.6,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,7.8,6.7,1.26,Betano.br,4.0,4.65,1.65,bet365,2.25,4.0,2.5,Betano.br,1.16,7.5,13.0,Betano.br,1.04,13.0,28.0,,0.0,0.0,0.0,,,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,13.0,11.0,3.0,2.0,10.0,9.0,,,,,,,,,,,,,6.0,5.0,5.0,15.0,17.0,28.0,14.0,3.0,3.0,0.0,,,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,0.54,0.46,4.0,8.0,2.0,2.0,2.0,6.0,,,2.0,3.0,1.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,,,,,,,0.36,0.64,9.0,3.0,1.0,0.0,8.0,3.0,,,4.0,2.0,2.0,0.0,,,8.0,2.0,1.0,1.0,0.0,0.0
CvEubJJo,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,08/10/2023,09:15,Round 10,Lugano,Servette,0,1,[],[38],bet365,2.88,2.38,3.25,bet365,2.3,3.6,3.0,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.36,1.29,1.57,bet365,15.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,11.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.25,1.63,bet365,1.4,2.85,bet365,1.18,4.65,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.25,1.07,Betano.br,9.75,6.6,1.22,bet365,4.33,4.33,1.57,Betano.br,1.44,4.8,5.9,Betano.br,1.15,8.0,13.5,Betano.br,1.04,13.5,27.0,,,,,,,,,,,0.64,0.36,0.0,0.0,,,,,,,,,12.0,11.0,3.0,5.0,9.0,6.0,,,,,,,,,,,,,5.0,4.0,9.0,8.0,21.0,19.0,7.0,7.0,1.0,1.0,,,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,0.58,0.42,4.0,4.0,2.0,2.0,2.0,2.0,,,4.0,1.0,0.0,1.0,3.0,5.0,1.0,0.0,1.0,2.0,,,,,,,0.7,0.3,8.0,7.0,1.0,3.0,7.0,4.0,,,1.0,3.0,1.0,0.0,,,4.0,2.0,0.0,2.0,3.0,1.0
AZZdZZto,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,07/10/2023,15:30,Round 10,St. Gallen,Lausanne Ouchy,4,0,"[8, 40, 90, 90]",[],bet365,2.05,2.6,5.0,bet365,1.55,4.5,5.0,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.53,2.38,bet365,1.17,1.18,2.38,bet365,21.0,bet365,21.0,bet365,29.0,bet365,51.0,bet365,11.0,bet365,9.5,bet365,17.0,bet365,34.0,bet365,9.5,bet365,8.5,bet365,15.0,bet365,34.0,bet365,13.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.35,1.58,bet365,1.9,1.95,bet365,1.55,2.38,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,8.25,6.8,1.25,Betano.br,4.1,4.7,1.62,bet365,2.3,4.0,2.38,Betano.br,1.16,7.4,13.0,Betano.br,1.04,13.0,28.0,,0.0,0.0,0.0,,,,,,,,,,,0.43,0.57,0.0,0.0,,,,,,,,,20.0,14.0,10.0,3.0,10.0,11.0,,,,,,,,,,,,,8.0,4.0,13.0,18.0,15.0,25.0,17.0,9.0,0.0,1.0,,,1.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,0.44,0.56,12.0,5.0,6.0,0.0,6.0,5.0,,,5.0,3.0,,,8.0,3.0,1.0,0.0,0.0,4.0,,,,,,,0.42,0.58,8.0,9.0,4.0,3.0,4.0,6.0,,,3.0,1.0,0.0,1.0,,,9.0,6.0,0.0,2.0,3.0,2.0
EkZRvdJN,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,07/10/2023,13:00,Round 10,Yverdon,Grasshoppers,0,3,[],"[17, 68, 72]",bet365,3.0,2.3,3.2,bet365,2.5,3.5,2.75,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.4,1.29,1.5,bet365,13.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,11.0,bet365,7.0,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,12.0,bet365,26.0,bet365,23.0,bet365,19.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.8,1.18,bet365,3.9,1.24,bet365,2.43,1.53,bet365,1.48,2.6,bet365,1.22,4.15,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.25,1.07,Betano.br,9.75,6.6,1.23,bet365,4.75,4.5,1.5,Betano.br,1.44,4.8,6.1,Betano.br,1.14,8.25,14.5,Betano.br,1.04,14.0,29.0,,,,,,,,,,,0.57,0.43,0.0,0.0,,,,,,,,,9.0,22.0,0.0,6.0,9.0,16.0,,,,,,,,,,,,,4.0,7.0,12.0,9.0,21.0,23.0,7.0,11.0,2.0,1.0,,,1.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.53,0.47,4.0,11.0,0.0,4.0,4.0,7.0,,,2.0,4.0,,,2.0,6.0,1.0,0.0,3.0,0.0,,,,,,,0.61,0.39,5.0,11.0,0.0,2.0,5.0,9.0,,,2.0,3.0,2.0,1.0,,,5.0,5.0,0.0,1.0,0.0,0.0
8QmVwGYT,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,07/10/2023,13:00,Round 10,Zurich,Winterthur,3,2,"[2, 45, 78]","[31, 90]",bet365,2.1,2.5,5.0,bet365,1.62,4.2,5.25,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.62,2.2,bet365,1.17,1.22,2.25,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,9.5,bet365,8.0,bet365,17.0,bet365,34.0,bet365,9.0,bet365,8.5,bet365,15.0,bet365,34.0,bet365,13.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.43,1.53,bet365,2.0,1.85,bet365,1.58,2.35,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.5,7.5,1.19,Betano.br,5.0,4.85,1.5,bet365,2.5,4.0,2.25,Betano.br,1.19,6.8,12.0,Betano.br,1.05,12.0,27.0,,0.0,0.0,0.0,,,,,,,,,,,0.44,0.56,0.0,0.0,,,,,,,,,15.0,18.0,5.0,7.0,10.0,11.0,,,,,,,,,,,,,5.0,6.0,11.0,17.0,21.0,25.0,15.0,11.0,5.0,1.0,,,2.0,0.0,5.0,2.0,,,,,,,,,,,,,,,,,,,0.48,0.52,10.0,5.0,4.0,2.0,6.0,3.0,,,2.0,1.0,2.0,1.0,12.0,8.0,1.0,0.0,1.0,2.0,,,,,,,0.4,0.6,5.0,13.0,1.0,5.0,4.0,8.0,,,3.0,5.0,3.0,0.0,,,3.0,3.0,1.0,0.0,4.0,0.0
hzoJtIlB,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,01/10/2023,11:30,Round 9,Basel,Lausanne Ouchy,0,3,[],"[21, 68, 90]",bet365,2.3,2.5,4.33,bet365,1.75,4.0,4.33,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.53,2.38,bet365,1.2,1.22,2.0,bet365,17.0,bet365,17.0,bet365,23.0,bet365,41.0,bet365,10.0,bet365,8.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,5.5,1.15,bet365,4.5,1.19,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.73,2.08,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,12.0,8.25,1.15,Betano.br,5.7,5.2,1.42,bet365,2.88,4.0,2.0,Betano.br,1.25,6.1,9.25,Betano.br,1.08,10.75,21.0,Betano.br,1.02,16.5,35.0,,,,,,,,,,,0.51,0.49,0.0,0.0,,,,,,,,,7.0,9.0,2.0,6.0,5.0,3.0,,,,,,,,,,,,,1.0,2.0,15.0,18.0,22.0,40.0,18.0,14.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.51,0.49,6.0,3.0,2.0,2.0,4.0,1.0,,,1.0,1.0,1.0,1.0,8.0,10.0,0.0,1.0,1.0,2.0,,,,,,,0.51,0.49,1.0,6.0,0.0,4.0,1.0,2.0,,,0.0,1.0,2.0,2.0,1.0,0.0,10.0,4.0,2.0,0.0,2.0,0.0
zazOux4H,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,01/10/2023,11:30,Round 9,Luzern,Zurich,1,4,[90],"[15, 54, 66, 86]",bet365,3.0,2.3,3.25,bet365,2.4,3.5,2.88,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.4,1.29,1.53,bet365,13.0,bet365,12.0,bet365,15.0,bet365,29.0,bet365,10.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,12.0,bet365,26.0,bet365,23.0,bet365,17.0,bet365,23.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,3.55,1.28,bet365,2.35,1.58,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.5,1.07,Betano.br,10.25,6.7,1.21,bet365,4.5,4.33,1.53,Betano.br,1.45,4.75,6.0,Betano.br,1.15,8.0,13.5,Betano.br,1.04,13.5,28.0,,,,,,,,,,,0.61,0.39,0.0,0.0,,,,,,,,,16.0,15.0,4.0,5.0,12.0,10.0,,,,,,,,,,,,,7.0,5.0,16.0,17.0,32.0,20.0,13.0,19.0,3.0,2.0,,,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.61,0.39,6.0,7.0,0.0,1.0,6.0,6.0,,,4.0,3.0,1.0,1.0,6.0,8.0,2.0,0.0,0.0,0.0,,,,,,,0.61,0.39,10.0,8.0,4.0,4.0,6.0,4.0,,,3.0,2.0,2.0,1.0,,,7.0,11.0,0.0,0.0,1.0,3.0
vXtFsbZ4,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,01/10/2023,09:15,Round 9,Yverdon,St. Gallen,1,0,[28],[],bet365,4.75,2.5,2.1,bet365,5.0,4.2,1.62,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.53,2.38,bet365,2.25,1.22,1.17,bet365,19.0,bet365,10.0,bet365,10.0,bet365,13.0,bet365,19.0,bet365,8.5,bet365,8.5,bet365,12.0,bet365,29.0,bet365,15.0,bet365,13.0,bet365,19.0,bet365,51.0,bet365,34.0,bet365,34.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,2.3,1.6,bet365,1.83,2.03,bet365,1.5,2.5,bet365,1.25,3.8,bet365,1.19,4.5,,0.0,0.0,0.0,Betano.br,25.0,12.0,1.06,Betano.br,11.5,6.8,1.2,bet365,2.25,4.0,2.5,Betano.br,1.52,4.85,4.85,Betano.br,1.2,7.5,10.0,,,,,,,,,,,0.49,0.51,0.0,0.0,,,,,,,,,18.0,27.0,8.0,8.0,10.0,19.0,,,,,,,,,,,,,6.0,11.0,10.0,15.0,13.0,8.0,12.0,15.0,2.0,4.0,0.0,1.0,3.0,0.0,8.0,7.0,,,,,,,,,,,,,,,,,,,0.54,0.46,8.0,12.0,3.0,2.0,5.0,10.0,,,2.0,4.0,0.0,3.0,5.0,8.0,2.0,0.0,2.0,2.0,,,,,,,0.43,0.57,10.0,15.0,5.0,6.0,5.0,9.0,,,4.0,7.0,2.0,1.0,0.0,1.0,7.0,7.0,1.0,0.0,6.0,5.0
pAsBrvKb,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,30/09/2023,15:30,Round 9,Grasshoppers,Young Boys,0,1,[],[17],bet365,4.33,2.5,2.25,bet365,4.33,4.2,1.73,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.53,2.38,bet365,2.05,1.22,1.2,bet365,17.0,bet365,10.0,bet365,10.0,bet365,15.0,bet365,17.0,bet365,8.0,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,13.0,bet365,19.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.1,1.23,bet365,2.1,1.7,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.2,4.4,bet365,1.15,5.5,Betano.br,37.0,16.5,1.02,Betano.br,22.0,11.0,1.07,Betano.br,9.75,6.2,1.24,bet365,2.05,4.0,2.75,Betano.br,1.44,5.2,5.5,Betano.br,1.16,8.0,11.5,,,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,9.0,8.0,3.0,4.0,6.0,4.0,,,,,,,,,,,,,4.0,4.0,23.0,14.0,26.0,27.0,9.0,21.0,1.0,3.0,,,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,0.32,0.68,6.0,3.0,2.0,3.0,4.0,0.0,,,1.0,2.0,,,5.0,8.0,3.0,2.0,2.0,2.0,,,,,,,0.59,0.41,3.0,5.0,1.0,1.0,2.0,4.0,,,3.0,2.0,1.0,3.0,,,4.0,13.0,2.0,1.0,1.0,1.0
